
Training model: Baseline
  Learning rate: 0.001
Epoch 12/20 | Train Acc: 73.70% | Test Acc: 44.91%
Epoch 13/20 | Train Acc: 74.49% | Test Acc: 49.42%
Epoch 14/20 | Train Acc: 74.78% | Test Acc: 57.06%
Epoch 15/20 | Train Acc: 75.18% | Test Acc: 52.89%
Epoch 16/20 | Train Acc: 77.38% | Test Acc: 58.56%
Epoch 17/20 | Train Acc: 76.46% | Test Acc: 52.78%
Epoch 18/20 | Train Acc: 77.32% | Test Acc: 59.95%
Epoch 19/20 | Train Acc: 76.54% | Test Acc: 64.58%
Epoch 20/20 | Train Acc: 77.70% | Test Acc: 55.44%
  Learning rate: 1e-05
Epoch 1/20 | Train Acc: 40.95% | Test Acc: 30.21%
Epoch 2/20 | Train Acc: 46.16% | Test Acc: 31.83%
Epoch 3/20 | Train Acc: 48.65% | Test Acc: 33.22%
Epoch 4/20 | Train Acc: 51.90% | Test Acc: 34.61%
Epoch 5/20 | Train Acc: 53.11% | Test Acc: 34.84%
Epoch 6/20 | Train Acc: 53.81% | Test Acc: 32.75%
Epoch 7/20 | Train Acc: 54.47% | Test Acc: 31.37%
Epoch 8/20 | Train Acc: 56.70% | Test Acc: 31.37%
Epoch 9/20 | Train Acc: 58.01% | Test Acc: 30.09%
Epoch 10/20 | Train Acc: 60.61% | Test Acc: 29.05%
Epoch 11/20 | Train Acc: 60.41% | Test Acc: 28.70%
Epoch 12/20 | Train Acc: 61.31% | Test Acc: 27.55%
Epoch 13/20 | Train Acc: 62.41% | Test Acc: 26.27%
Epoch 14/20 | Train Acc: 63.22% | Test Acc: 26.97%
Epoch 15/20 | Train Acc: 63.45% | Test Acc: 26.39%
Epoch 16/20 | Train Acc: 64.44% | Test Acc: 26.04%
Epoch 17/20 | Train Acc: 64.64% | Test Acc: 25.58%
Epoch 18/20 | Train Acc: 65.16% | Test Acc: 26.04%
Epoch 19/20 | Train Acc: 65.68% | Test Acc: 25.58%
Epoch 20/20 | Train Acc: 66.26% | Test Acc: 25.35%
Finished training Deep_baseline_V3 in 30658 seconds

Training model: Deep_baseline_V4
  Learning rate: 0.001
Epoch 1/20 | Train Acc: 49.17% | Test Acc: 49.07%
Epoch 2/20 | Train Acc: 61.37% | Test Acc: 59.72%
Epoch 3/20 | Train Acc: 66.90% | Test Acc: 60.30%
Epoch 4/20 | Train Acc: 67.97% | Test Acc: 64.93%
Epoch 5/20 | Train Acc: 70.98% | Test Acc: 62.96%
Epoch 6/20 | Train Acc: 72.95% | Test Acc: 61.00%
Epoch 7/20 | Train Acc: 74.54% | Test Acc: 72.92%
Epoch 8/20 | Train Acc: 76.63% | Test Acc: 71.18%
Epoch 9/20 | Train Acc: 77.70% | Test Acc: 68.75%
Epoch 10/20 | Train Acc: 78.37% | Test Acc: 73.38%
Epoch 11/20 | Train Acc: 79.64% | Test Acc: 71.18%
Epoch 12/20 | Train Acc: 81.38% | Test Acc: 69.79%
Epoch 13/20 | Train Acc: 81.78% | Test Acc: 74.07%
Epoch 14/20 | Train Acc: 84.04% | Test Acc: 76.74%
Epoch 15/20 | Train Acc: 85.78% | Test Acc: 71.06%
Epoch 16/20 | Train Acc: 85.69% | Test Acc: 77.43%
Epoch 17/20 | Train Acc: 86.71% | Test Acc: 77.66%
Epoch 18/20 | Train Acc: 87.40% | Test Acc: 74.77%
Epoch 19/20 | Train Acc: 88.01% | Test Acc: 81.02%
Epoch 20/20 | Train Acc: 89.02% | Test Acc: 68.17%
  Learning rate: 0.0001
Epoch 1/20 | Train Acc: 51.32% | Test Acc: 26.97%
Epoch 2/20 | Train Acc: 61.11% | Test Acc: 29.17%
Epoch 3/20 | Train Acc: 66.99% | Test Acc: 34.26%
Epoch 4/20 | Train Acc: 69.19% | Test Acc: 32.99%
Epoch 5/20 | Train Acc: 73.96% | Test Acc: 42.13%
Epoch 6/20 | Train Acc: 74.25% | Test Acc: 53.12%
Epoch 7/20 | Train Acc: 75.56% | Test Acc: 61.11%
Epoch 8/20 | Train Acc: 78.34% | Test Acc: 57.64%
Epoch 9/20 | Train Acc: 79.87% | Test Acc: 63.08%
Epoch 10/20 | Train Acc: 80.16% | Test Acc: 67.25%
Epoch 11/20 | Train Acc: 81.73% | Test Acc: 64.70%
Epoch 12/20 | Train Acc: 82.16% | Test Acc: 69.33%
Epoch 13/20 | Train Acc: 82.97% | Test Acc: 68.87%
Epoch 14/20 | Train Acc: 84.45% | Test Acc: 68.52%
Epoch 15/20 | Train Acc: 85.35% | Test Acc: 62.96%
Epoch 16/20 | Train Acc: 85.72% | Test Acc: 67.71%
Epoch 17/20 | Train Acc: 87.00% | Test Acc: 69.21%
Epoch 18/20 | Train Acc: 87.34% | Test Acc: 55.56%
Epoch 19/20 | Train Acc: 88.91% | Test Acc: 72.34%
Epoch 20/20 | Train Acc: 89.28% | Test Acc: 75.81%
  Learning rate: 1e-05
Epoch 1/20 | Train Acc: 45.06% | Test Acc: 26.39%
Epoch 2/20 | Train Acc: 53.08% | Test Acc: 25.23%
Epoch 3/20 | Train Acc: 57.57% | Test Acc: 25.00%
Epoch 4/20 | Train Acc: 62.09% | Test Acc: 24.31%
Epoch 5/20 | Train Acc: 63.45% | Test Acc: 24.31%
Epoch 6/20 | Train Acc: 65.57% | Test Acc: 24.31%
Epoch 7/20 | Train Acc: 66.38% | Test Acc: 24.31%
Epoch 8/20 | Train Acc: 68.72% | Test Acc: 24.31%
Epoch 9/20 | Train Acc: 68.66% | Test Acc: 24.31%
Epoch 10/20 | Train Acc: 68.23% | Test Acc: 24.42%
Epoch 11/20 | Train Acc: 70.17% | Test Acc: 24.42%
Epoch 12/20 | Train Acc: 70.72% | Test Acc: 24.42%
Epoch 13/20 | Train Acc: 70.98% | Test Acc: 24.42%
Epoch 14/20 | Train Acc: 71.94% | Test Acc: 24.54%
Epoch 15/20 | Train Acc: 72.75% | Test Acc: 24.42%
Epoch 16/20 | Train Acc: 72.52% | Test Acc: 24.42%
Epoch 17/20 | Train Acc: 73.10% | Test Acc: 24.54%
Epoch 18/20 | Train Acc: 73.41% | Test Acc: 24.54%
Epoch 19/20 | Train Acc: 74.46% | Test Acc: 24.54%
Epoch 20/20 | Train Acc: 74.05% | Test Acc: 24.77%
Finished training Deep_baseline_V4 in 62615 seconds
